,price,product,category
7,$1.59,"Deep River Snacks Sea Salt & Vinegar Flavored Kettle Cooked, Potato Chips, 2 Ounce",chips
8,$2.99,"Deep River Snacks Sea Salt & Vinegar Flavored Kettle Cooked, Potato Chips, 5 Ounce",chips
9,$1.59,"Deep River Snacks Sweet Maui Onion Kettle Chips, 2 Ounce",chips
10,$2.99,"Deep River Snacks Zesty Jalapeño Flavored, Kettle Cooked Potato Chips, 5 Ounce",chips
11,$3.49,"Good Health Avocado Oil Lime Ranch Kettle Style, Potato Chips, 5 Ounce",chips
12,$3.49,"Good Health Avocado Oil Sea Salted Kettle Style, Potato Chips, 5 Ounce",chips
13,$7.99,"Good Health Avocado Oil Sea Salted Kettle Style, Potato Chips, 16 Ounce",chips
14,$3.29,"Good Health Sweet Potato Sea Salted Kettle Style, Potato Chips, 5 Ounce",chips
15,$3.99,"Herr's  Kettle Cooked Cracked Pepper & Sea Salt Flavored, Potato Chips, 7.5 Ounce",chips
16,$3.99,"Herr's  Kettle Cooked Mesquite BBQ Flavored, Potato Chips, 7.5 Ounce",chips
17,$3.99,"Herr's Baked! Cheddar & Sour Cream Flavored, Potato Crisps, 8 Ounce",chips
18,$3.99,"HERR'S Baked! Cheddar & Sour Cream, Potato Crisps, 7 Ounce",chips
19,$3.99,"Herr's Baked! Original Ripple Cut, Potato Crisps, 8 Ounce",chips
20,$3.99,"Herr's Baked! Original, Potato Crisps, 8 Ounce",chips
21,$3.99,"Herr's Baked! Sour Cream & Onion Flavored, Potato Crisps, 8 Ounce",chips
22,$2.29,"Herr's Barbecue Flavored, Potato Chips, 8.5 Ounce",chips
23,$2.29,"HERR'S Barbecue Flavored, Potato Chips, 7.75 Ounce",chips
24,$2.29,"Herr's Cheddar & Sour Cream Ridged, Potato Chips, 8.5 Ounce",chips
25,$2.29,"Herr's Crisp 'N Tasty, Potato Chips, 9 Ounce",chips
26,$2.29,"HERR'S Crisp 'n Tasty, Potato Chips, 8 Ounce",chips
27,$2.29,"Herr's Gameday Flavors Buffalo Wing Flavored, Potato Chips, 7.75 Ounce",chips
28,$2.29,"HERR'S Gameday Flavors Cheesy Pizza Flavored, Potato Chips, 7.75 Ounce",chips
29,$2.29,"HERR'S Honey BBQ Flavored, Potato Chips, 7.75 Ounce",chips
0,$2.99,"Annas Ginger, Swedish Thins, 5.25 Ounce",cookies
3,$3.99,"Annie's Homegrown Bunny Grahams Organic Chocolate Chip, Baked Graham Snacks, 7.5 Ounce",cookies
4,$4.29,"Oreo Golden Double Stuf, Sandwich Cookies, 15.25 Ounce",cookies
7,$4.69,"Chips Ahoy! Chewy Chocolate Chip, Cookies, 19.5 Ounce",cookies
8,$3.99,"Annie's Homegrown Bunny Grahams Organic Chocolate, Baked Graham Snacks, 7.5 Ounce",cookies
9,$3.99,"Annie's Homegrown Bunny Grahams Organic Neapolitan, Baked Graham Snacks, 7.5 Ounce",cookies
12,$3.29,"Archway Classic Homestyle Crispy Iced Oatmeal, Cookies, 12 Ounce",cookies
13,$2.49,"Archway Classic Homestyle Soft Molasses, Cookies, 9.5 Ounce",cookies
14,$3.50,"Oreo Joy! Red Colored Creme Chocolate , Sandwich Cookies, 1.25 Pound",cookies
15,$3.50,"Oreo Golden, Sandwich Cookies, 19.1 Ounce",cookies
18,$3.29,"Archway Classics Homestyle Crispy Gingersnap, Cookies, 12 Ounce",cookies
19,$2.49,"Archway Classics Homestyle Crispy Windmill, Cookies, 9 Ounce",cookies
20,$2.49,"Archway Classics Homestyle Soft Frosty Lemon, Cookies, 9.25 Ounce",cookies
21,$3.29,"Archway Classics Homestyle Soft Iced Molasses, Cookies, 12 Ounce",cookies
22,$2.49,"Archway Classics Homestyle Soft Oatmeal Raisin, Cookies, 9.25 Ounce",cookies
25,$2.49,"Archway Classics Homestyle Soft Oatmeal, Cookies, 9.5 Ounce",cookies
26,$2.49,"Archway Classics Homestyle Soft Raspberry Filled, Cookies, 9 Ounce",cookies
27,$2.49,"Archway Classics Soft Iced Oatmeal, Cookies, 9.25 Ounce",cookies
28,$2.49,"Archway Homestyle Soft Dutch Cocoa, Cookies, 8.75 Ounce",cookies
29,$7.99,"Atkins Chocolate Chip, Protein Cookies Snack, 5.5 Ounce",cookies
30,$7.99,"Atkins Double Chocolate Chip Protein Snack, Cookies, 1.38 Ounce",cookies
31,$3.99,"Back to Nature Chocolate Chunk , Cookies, 9.5 Ounce",cookies
32,$3.99,"Back to Nature Cookies Peanut Butter Creme, 9.6 Ounce",cookies
33,$3.99,"Back to Nature Double Creme, Cookies, 10.7 Ounce",cookies
34,$3.99,"Back to Nature Mini Chocolate Chunk, Cookies, 6 Ounce",cookies
37,$3.99,"Back to Nature Mini Classic Creme, Cookies, 6 Ounce",cookies
38,$4.49,"Bahlsen Choco Leibniz Dark Crispy , Cookies, 4.4 Ounce",cookies
39,$4.49,"Bahlsen Choco Leibniz Milk, Crispy Cookies, 4.4 Ounce",cookies
40,$4.99,"Bahlsen Leibniz Butter Biscuits, 7 Ounce",cookies
41,$2.69,"Barnum's Animals Crackers, 2.13 Ounce",cookies
42,$7.99,"Barnum's Animals Mini, Crackers, 12 Ounce",cookies
43,$3.39,"Barnums Original Animal, Crackers, 8 Ounce",cookies
44,$1.29,"Bauducco Chocolate, Wafer, 5.82 Ounce",cookies
45,$1.29,"Bauducco Vanilla, Wafer, 5.82 Ounce",cookies
0,$3.99,"4 Pack Tomatoes, 1 Each",fruit
3,$3.99,"Apple Lucy Glo, 5 Ounce",fruit
7,$3.99,"Wholesome Pantry Organic Red, Pears, 1 Each",fruit
8,$4.99,"Lil Snappers Bartlett Pears, 48 Ounce",fruit
9,$1.99,"Apple SnapDragon, 6 Ounce",fruit
14,$4.99,"Lil Snappers Red Pears, 48 Ounce",fruit
17,$3.99,"Wholesome Pantry Organic Bartlett, Pears, 1 Each",fruit
21,$2.99,"Asian Pear, 1 Each",fruit
22,$3.00,"Avocados Green - Small, 1 Each",fruit
25,$3.99,"Bagged Lemons, 2 Pound",fruit
26,$5.99,"Bagged Limes - 2lb, 2 Pound",fruit
29,$4.79,"Bazzini Turkish Apricots, 13 Ounce",fruit
31,$6.99,"Black Mission Figs, 16 Ounce",fruit
33,$1.99,"Blueberries , 1 Pint",fruit
37,$3.99,"Bowl & Basket Fuji Apples, 3 Pound",fruit
38,$3.99,"Bowl & Basket Gala Apples, 48 Ounce",fruit
39,$3.99,"Bowl & Basket Golden Delicious, Apples, 48 Ounce",fruit
40,$5.29,"Bowl & Basket Granny Smith, Apples, 48 Ounce",fruit
41,$3.99,"Bowl & Basket Grape Tomatoes, 1 Pint",fruit
42,$3.99,"Bowl & Basket Honeycrisp, Apples, 32 Ounce",fruit
43,$3.99,"Bowl & Basket McIntosh , Apples, 48 Ounce",fruit
44,$5.99,"Bowl & Basket Navel Oranges, 64 Ounce",fruit
45,$3.99,"Bowl & Basket Red Delicious, Apples, 48 Ounce",fruit
46,$3.99,"Bowl & Basket Snapdragon, Apples, 32 Ounce",fruit
0,$6.99,"Alden's Organic Vanilla Crème, Ice Cream, 14 Fluid ounce",ice cream
3,$5.99,"Ben & Jerry's Brownie Batter Core, Ice Cream, 16 Ounce",ice cream
4,$5.99,"Ben & Jerry's Caramel Chocolate Cheesecake, Ice Cream, 16 Ounce",ice cream
7,$5.99,"Ben & Jerry's Cherry Garcia, Ice Cream, 16 Pint",ice cream
8,$5.99,"Ben & Jerry's Chewy Gooey Cookie, Ice Cream, 1 Pint",ice cream
9,$5.99,"Ben & Jerry's Chocolate Caramel Cookie Dough Topped, Ice Cream, 15.2 Fluid ounce",ice cream
12,$5.99,"Ben & Jerry's Chocolate Chip Cookie Dough Core, Ice Cream, 1 Each",ice cream
13,$5.99,"Ben & Jerry's Chocolate Milk & Cookies Topped, Ice Cream, 15.2 Fluid ounce",ice cream
14,$5.99,"Ben & Jerry's Chubby Hubby Ice Cream, 16 Ounce",ice cream
15,$5.99,"Ben & Jerry's Chunky Monkey, Ice Cream, 16 Ounce",ice cream
18,$5.99,"Ben & Jerry's Coffee Toffee Bar Crunch, Ice Cream, 16 Ounce",ice cream
19,$5.99,"Ben & Jerry's Dirt Cake Topped, Ice Cream, 15.2 Fluid ounce",ice cream
20,$5.99,"Ben & Jerry's Dublin Mudslide, Ice Cream, 1 Pint",ice cream
21,$5.99,"Ben & Jerry's Mint Chocolate Chance, Ice Cream, 1 Pint",ice cream
22,$5.99,"Ben & Jerry's Mint Chocolate Cookie, Ice Cream, 1 Each",ice cream
25,$5.99,"Ben & Jerry's New York Super Fudge Chunk, Ice Cream, 16 Ounce",ice cream
26,$5.99,"Ben & Jerry's PB Over the Top Topped, Ice Cream, 15.2 Fluid ounce",ice cream
27,$5.99,"Ben & Jerry's Peanut Butter Cup, Ice Cream, 16 Ounce",ice cream
28,$5.99,"Ben & Jerry's Pistachio, Ice Cream, 16 Ounce",ice cream
29,$5.99,"Ben & Jerry's Pumpkin Cheesecake with a Graham Cracker Swirl, Ice Cream, 16 Ounce",ice cream
